year,quarter,id,industry,UNEMP1,UNEMP2,UNEMP3,UNEMP4,UNEMP5,UNEMP6,UNEMPA,UNEMPB,UNEMPC,UNEMPD
1969,3,77,-999,3.5,3.599999998,3.699999999,4,3.899999999,-999,-999,-999,-999,-999
1969,3,78,-999,3.5,3.699999999,3.799999997,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,81,-999,3.5,3.699999999,4,3.899999999,3.799999997,-999,-999,-999,-999,-999
1969,3,82,-999,3.5,3.599999998,3.699999999,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,85,-999,3.5,3.5,3.599999998,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,3,86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,3,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,3,93,-999,4,4,4,4,5,-999,-999,-999,-999,-999
1969,3,97,-999,3.399999999,3.799999997,4,4.5,5,-999,-999,-999,-999,-999
1969,3,98,-999,3.5,3.599999998,3.699999999,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,100,-999,3.5,3.5,3.699999999,3.799999997,4.199999999,-999,-999,-999,-999,-999
1969,3,102,-999,3.5,3.599999998,3.799999997,4,3.899999999,-999,-999,-999,-999,-999
1969,3,103,-999,3.5,3.699999999,3.899999999,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,104,-999,3.5,3.599999998,3.799999997,4,4,-999,-999,-999,-999,-999
1969,3,107,-999,3.5,3.5,3.399999999,3.399999999,3.399999999,-999,-999,-999,-999,-999
1969,3,109,-999,3.5,3.699999999,3.699999999,3.699999999,3.599999998,-999,-999,-999,-999,-999
1969,3,118,-999,3.5,3.699999999,4,4.199999999,4.199999999,-999,-999,-999,-999,-999
